2023-08-12 12:56:06.574Z 401 POST http://localhost:8181/api/cars/ Unauthorized
2023-08-12 12:58:53.806Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:19:02.135Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:19:45.245Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:20:41.418Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:21:58.383Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:22:54.083Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:23:08.548Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:26:04.663Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:28:38.868Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:29:00.258Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:30:09.221Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 13:30:54.767Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 14:00:54.901Z 400 POST http://localhost:8181/api/cars/ Bad Request
2023-08-12 14:02:53.799Z 400 POST http://localhost:8181/api/cars/ Bad Request
